epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.367,2.84583,4.73087,2.3795,0.71886,0.67166,0.72936,0.47037,2.39317,2.64906,2.24583,0.00333033,0.00333033,0.00333033
2,789.551,2.60608,2.75455,2.22775,0.74949,0.73532,0.78195,0.50497,2.46504,2.06155,2.30469,0.00653173,0.00653173,0.00653173
3,1164.86,2.69547,2.36083,2.27541,0.76188,0.69031,0.76501,0.48357,2.60803,2.20753,2.39307,0.00960112,0.00960112,0.00960112
4,1536.39,2.6829,2.14851,2.28748,0.82066,0.75658,0.83686,0.55001,2.42533,1.75956,2.28948,0.009406,0.009406,0.009406
5,1908.92,2.56769,1.88454,2.2521,0.83832,0.78261,0.85844,0.56992,2.38542,1.61655,2.25715,0.009208,0.009208,0.009208
6,2277.81,2.49125,1.74394,2.21905,0.83587,0.80803,0.86664,0.58674,2.31495,1.56474,2.2321,0.00901,0.00901,0.00901
7,2647.28,2.44641,1.66962,2.19381,0.85282,0.80623,0.88348,0.60635,2.25904,1.44373,2.18139,0.008812,0.008812,0.008812
8,3012.95,2.39172,1.585,2.17434,0.871,0.81702,0.8925,0.61797,2.22464,1.39943,2.17591,0.008614,0.008614,0.008614
9,3380.64,2.34794,1.52049,2.15579,0.88196,0.8352,0.90578,0.62848,2.18193,1.31672,2.15099,0.008416,0.008416,0.008416
10,3749.98,2.31321,1.48244,2.13838,0.87719,0.84877,0.91056,0.64035,2.14093,1.27193,2.12952,0.008218,0.008218,0.008218
11,4118.82,2.29069,1.44263,2.13061,0.89177,0.84174,0.9136,0.64552,2.12821,1.23225,2.11607,0.00802,0.00802,0.00802
12,4483.04,2.25471,1.39555,2.11364,0.89412,0.85007,0.91881,0.6515,2.11139,1.19814,2.11381,0.007822,0.007822,0.007822
13,4846.93,2.23299,1.37143,2.1104,0.88754,0.85273,0.91881,0.65251,2.10117,1.20606,2.11039,0.007624,0.007624,0.007624
14,5212.02,2.22055,1.34853,2.09636,0.89629,0.85119,0.92036,0.66297,2.06728,1.15895,2.08716,0.007426,0.007426,0.007426
15,5574.01,2.17419,1.31211,2.08627,0.90436,0.85475,0.92379,0.66492,2.05091,1.14696,2.0742,0.007228,0.007228,0.007228
16,5936.04,2.16621,1.30485,2.07732,0.89375,0.8557,0.92529,0.66967,2.0419,1.15322,2.07846,0.00703,0.00703,0.00703
17,6304.53,2.16011,1.29302,2.07943,0.90636,0.861,0.92914,0.67198,2.026,1.11127,2.0621,0.006832,0.006832,0.006832
18,6671.23,2.13524,1.26837,2.06299,0.89928,0.8651,0.92902,0.67713,1.99791,1.10942,2.05498,0.006634,0.006634,0.006634
19,7039.28,2.11725,1.2492,2.05884,0.90002,0.86907,0.93325,0.68212,1.99451,1.0904,2.05188,0.006436,0.006436,0.006436
20,7406.09,2.10417,1.23827,2.0499,0.90446,0.86386,0.93251,0.68449,1.98401,1.0748,2.04554,0.006238,0.006238,0.006238
21,7771.72,2.08714,1.21878,2.04762,0.90497,0.86752,0.93245,0.68518,1.96449,1.07907,2.02867,0.00604,0.00604,0.00604
22,8138.89,2.07272,1.20699,2.03987,0.89868,0.87418,0.93452,0.68817,1.95404,1.07236,2.03063,0.005842,0.005842,0.005842
23,8506.58,2.05769,1.18731,2.03343,0.90734,0.86982,0.93589,0.69134,1.94809,1.06539,2.02511,0.005644,0.005644,0.005644
24,8875.71,2.05377,1.18912,2.03115,0.90849,0.86702,0.93235,0.69079,1.93982,1.06611,2.01786,0.005446,0.005446,0.005446
25,9242.03,2.04425,1.18095,2.02889,0.90175,0.87215,0.93398,0.69525,1.93112,1.04816,2.02064,0.005248,0.005248,0.005248
26,9610.02,2.02517,1.15648,2.02403,0.90239,0.87611,0.93605,0.69599,1.92935,1.04503,2.01879,0.00505,0.00505,0.00505
27,9978.25,2.00745,1.14352,2.01696,0.91686,0.86267,0.93558,0.69561,1.92932,1.03772,2.0238,0.004852,0.004852,0.004852
28,10346.1,1.9914,1.1327,2.0046,0.90598,0.87311,0.93658,0.69928,1.91142,1.03927,2.01739,0.004654,0.004654,0.004654
29,10714,1.97723,1.11949,2.00489,0.90199,0.88202,0.9368,0.70019,1.91136,1.02909,2.01283,0.004456,0.004456,0.004456
30,11078.8,1.96287,1.10571,1.99836,0.91151,0.87267,0.93823,0.7034,1.89822,1.02117,2.01477,0.004258,0.004258,0.004258
31,11441.2,1.95702,1.09938,1.99674,0.90646,0.87967,0.93872,0.70463,1.89163,1.01537,2.00532,0.00406,0.00406,0.00406
32,11805.9,1.95091,1.09177,1.99243,0.91086,0.87924,0.93991,0.70603,1.88815,1.02012,2.00686,0.003862,0.003862,0.003862
33,12172.6,1.93056,1.07341,1.9839,0.91011,0.87772,0.93918,0.70635,1.88203,1.01742,2.00454,0.003664,0.003664,0.003664
34,12543.2,1.92782,1.06885,1.97925,0.91341,0.87539,0.93941,0.70806,1.87814,1.01383,2.00019,0.003466,0.003466,0.003466
35,12911.3,1.90755,1.06092,1.97694,0.91735,0.87258,0.93846,0.70738,1.88017,1.0153,2.00214,0.003268,0.003268,0.003268
36,13273.5,1.90405,1.05213,1.97133,0.90862,0.88223,0.93924,0.70924,1.87623,1.01449,2.00137,0.00307,0.00307,0.00307
37,13634.7,1.87401,1.03503,1.96586,0.91283,0.88018,0.93992,0.71073,1.869,1.01246,1.9944,0.002872,0.002872,0.002872
38,14004.3,1.86717,1.02064,1.95738,0.91347,0.882,0.94079,0.71206,1.8665,1.00931,1.99458,0.002674,0.002674,0.002674
39,14369.9,1.86082,1.0074,1.95576,0.90746,0.88662,0.94166,0.71286,1.86398,1.00654,1.9932,0.002476,0.002476,0.002476
40,14734.1,1.84258,1.00401,1.95013,0.90814,0.88512,0.94093,0.7131,1.86171,1.00285,1.9917,0.002278,0.002278,0.002278
41,15089,1.76889,0.84869,1.9237,0.90629,0.88595,0.9407,0.71503,1.85792,1.00595,1.99241,0.00208,0.00208,0.00208
42,15444.6,1.74839,0.83512,1.91287,0.9099,0.8834,0.94036,0.71518,1.85082,1.01139,1.99361,0.001882,0.001882,0.001882
