epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,499.082,1.5375,2.73894,0.00798,0.73601,0.71026,0.76556,0.49511,1.25958,1.06814,0.00813,0.009991,0.00333033,0.009991,0.00333033,0.009991,0.00333033,0.009991,0.00333033
2,879.511,1.39215,1.16533,0.00701,0.81066,0.78109,0.84675,0.54241,1.27315,0.86926,0.00868,0.0195952,0.00653173,0.0195952,0.00653173,0.0195952,0.00653173,0.0195952,0.00653173
3,1223.57,1.41849,0.98816,0.00732,0.82451,0.76804,0.8539,0.5471,1.32759,0.85138,0.00968,0.0288034,0.00960112,0.0288034,0.00960112,0.0288034,0.00960112,0.0288034,0.00960112
4,1552.63,1.42602,0.94564,0.00749,0.85153,0.80224,0.87271,0.58005,1.25689,0.77855,0.0093,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1881.3,1.37928,0.86478,0.00728,0.8451,0.83489,0.88892,0.59512,1.2346,0.71329,0.00888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2210.66,1.34473,0.81489,0.00695,0.85685,0.83537,0.89317,0.60356,1.22789,0.69165,0.00868,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2527.54,1.3296,0.79163,0.00682,0.86132,0.84178,0.90411,0.62037,1.17193,0.66345,0.00796,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2839.24,1.30067,0.75314,0.00665,0.86948,0.83626,0.90527,0.6281,1.16511,0.66008,0.0085,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3149.87,1.28139,0.73102,0.00653,0.88472,0.84639,0.91623,0.63855,1.15264,0.60865,0.0079,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3460.6,1.2666,0.71776,0.00635,0.88729,0.85799,0.92327,0.65496,1.10064,0.57168,0.00726,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3772.71,1.25388,0.69409,0.0063,0.89237,0.84756,0.91991,0.654,1.1053,0.60046,0.0075,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4084.72,1.23925,0.67427,0.00611,0.87877,0.86864,0.92392,0.65671,1.11269,0.57332,0.00765,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4400.88,1.22509,0.66518,0.00614,0.88384,0.87428,0.92879,0.66489,1.07682,0.55849,0.00702,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4723.37,1.22331,0.65514,0.00601,0.89215,0.87185,0.92836,0.66958,1.07648,0.55669,0.00728,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5050.89,1.19601,0.63429,0.0059,0.89315,0.87146,0.93266,0.66997,1.06807,0.54686,0.00696,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5380.75,1.19621,0.63195,0.00588,0.89291,0.86835,0.93053,0.67434,1.06422,0.54989,0.00696,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5707.3,1.18864,0.6305,0.00585,0.90373,0.86474,0.93102,0.67859,1.04931,0.55269,0.00679,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6017.98,1.1772,0.61609,0.00575,0.90438,0.87454,0.93623,0.68453,1.04073,0.52544,0.0067,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6330.17,1.16951,0.60571,0.00567,0.90215,0.87216,0.93564,0.68818,1.03393,0.5247,0.00664,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6641.11,1.16029,0.5975,0.00557,0.8987,0.87288,0.93448,0.68776,1.03178,0.53028,0.00658,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6950.91,1.14984,0.58808,0.00559,0.90527,0.87185,0.93557,0.69246,1.02428,0.53147,0.00647,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7261.14,1.14363,0.58359,0.00549,0.9088,0.87024,0.93902,0.69512,1.01668,0.52393,0.00648,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7571.13,1.13095,0.57063,0.00539,0.90689,0.87449,0.93703,0.69444,1.01162,0.52491,0.00639,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7880.87,1.12974,0.57327,0.00546,0.90891,0.87709,0.93979,0.7019,1.01346,0.51841,0.00642,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8191.16,1.1239,0.56653,0.00539,0.89972,0.88435,0.94017,0.70276,1.00158,0.51374,0.00632,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8501.53,1.11132,0.55861,0.00535,0.89504,0.89142,0.94028,0.70547,0.99337,0.50889,0.00621,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8811.52,1.10412,0.55365,0.00526,0.90811,0.88161,0.93938,0.70402,0.99148,0.5135,0.00625,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9122.22,1.09458,0.54211,0.00515,0.91059,0.88296,0.94044,0.70747,0.99219,0.51361,0.00626,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9431.2,1.08288,0.53586,0.00516,0.91494,0.88279,0.94111,0.70807,0.98916,0.50779,0.00631,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9739.94,1.0724,0.52757,0.0051,0.91838,0.87733,0.94233,0.71016,0.98673,0.51025,0.0062,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,10050.4,1.07223,0.5259,0.00506,0.90493,0.89006,0.9419,0.70977,0.98602,0.51184,0.0062,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,10360.9,1.06616,0.52049,0.00498,0.90243,0.89105,0.94151,0.7106,0.98293,0.5156,0.00613,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10670.9,1.0521,0.50965,0.00493,0.91009,0.88666,0.94225,0.71319,0.97836,0.50843,0.00616,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10999.9,1.05019,0.507,0.00488,0.91798,0.87758,0.94007,0.71235,0.98099,0.513,0.00618,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11331.3,1.03897,0.50295,0.00484,0.91083,0.88339,0.94035,0.71337,0.9794,0.51233,0.00617,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11661.8,1.03789,0.49877,0.00481,0.91111,0.88442,0.94042,0.71515,0.97644,0.5143,0.00613,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11991.5,1.02017,0.48877,0.00477,0.91789,0.88228,0.94084,0.71503,0.97506,0.511,0.00613,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12322.5,1.01538,0.48358,0.00465,0.9152,0.88419,0.94073,0.717,0.97238,0.51368,0.00613,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12653.6,1.01233,0.47746,0.0046,0.90976,0.88673,0.94145,0.718,0.97028,0.51489,0.00608,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12984,0.99951,0.47292,0.00457,0.90901,0.88839,0.94216,0.71889,0.97109,0.51678,0.0061,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13310.2,0.93891,0.38747,0.00466,0.90527,0.89385,0.9422,0.71983,0.97128,0.51421,0.0061,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,13634.2,0.92649,0.37945,0.00453,0.90804,0.89214,0.94201,0.71998,0.97001,0.5207,0.00608,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13958,0.91427,0.3769,0.00449,0.91299,0.88789,0.94174,0.72026,0.9696,0.52263,0.00611,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14280.4,0.90187,0.37057,0.00438,0.91448,0.88833,0.94074,0.7205,0.96913,0.52924,0.00608,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,14601.8,0.89723,0.36613,0.00436,0.90889,0.8913,0.94033,0.72046,0.96891,0.53145,0.00608,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,14924.3,0.88677,0.3606,0.00427,0.90582,0.89345,0.94037,0.72051,0.96626,0.53602,0.00605,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,15246.1,0.8807,0.35573,0.00421,0.90675,0.89384,0.94022,0.72214,0.96509,0.53574,0.00605,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,15566.8,0.87331,0.3513,0.00418,0.90774,0.89288,0.93989,0.72178,0.96508,0.53551,0.00604,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,15888.6,0.86597,0.34628,0.00409,0.90775,0.89418,0.94058,0.72201,0.96433,0.53813,0.00603,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,16210.7,0.85829,0.34684,0.0041,0.91115,0.8904,0.94081,0.72209,0.96434,0.54117,0.00604,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
